Timestamp,1.) In which industry does the company operate?,2.) What type of software does the company construct?,3.) Which SDLC methodology does the company follow for software projects? (you can select more than one option),"4.) If more than one methodology was chosen in question 3, how do you/the company decide which methodology to choose for a given project? Leave blank if not more than one methodology was chosen",5.) If the Hybrid SDLC methodology was chosen in question 3 – What variation of SDLC methodologies do you use to implement software? Leave blank if hybrid was not chosen,Please state the methodology you're rating,Project Type,Requirements Volatility,Requirements Clarity ,Development Time,Project Size,Team Size,Product Complexity,Testing ,Please rate the following characteristics with low/high values (please choose only one value per row) [Risk Analysis],Please rate the following characteristics with low/high values (please choose only one value per row) [User Participation ],Please rate the following characteristics with low/high values (please choose only one value per row) [Team expertise on the technologies for the project],Please rate the following characteristics with low/high values (please choose only one value per row) [Development Expertise],Please rate the following characteristics with low/high values (please choose only one value per row) [Documentation needed],Please rate the following characteristics with low/high values (please choose only one value per row) [Funding Available],Please rate the following characteristics with low/high values (please choose only one value per row) [Delivery Speed],Please rate the following characteristics with low/high values (please choose only one value per row) [Task Visualisation],Please rate the following characteristics with low/high values (please choose only one value per row) [Prototyping],Please state the methodology you're rating,Project Type,Requirements Volatility,Requirements Clarity ,Development Time,Project Size,Team Size,Product Complexity,Testing Intensity,Please rate the following characteristics with low/high values (please choose only one value per row) [Risk Analysis],Please rate the following characteristics with low/high values (please choose only one value per row) [User Participation ],Please rate the following characteristics with low/high values (please choose only one value per row) [Team expertise on the technologies for the project],Please rate the following characteristics with low/high values (please choose only one value per row) [Development Expertise],Please rate the following characteristics with low/high values (please choose only one value per row) [Documentation needed],Please rate the following characteristics with low/high values (please choose only one value per row) [Funding Available],Please rate the following characteristics with low/high values (please choose only one value per row) [Delivery Speed],Please rate the following characteristics with low/high values (please choose only one value per row) [Task Visualisation],Please rate the following characteristics with low/high values (please choose only one value per row) [Prototyping],"6. Which of the criteria mentioned in sections 2 and 3, you believe that are the most important in choosing a SDLC methodology over another?","7.) Do you think that there are additional requirements (aside from those mentioned in the previous question) that influence your decision to choose a SDLC method for a project? If yes, please mention the rating/value alongside the characteristic for the SDLC methodology you selected in previous questions (e.g., Documentation: high).",
2021/11/27 8:02:51 pm CET,Information Technology,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Scrum,,,Scrum,,Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),High,High,Low,High,Low,Medium,High,Low,Low,,,,,,,,,,,,,,,,,,,Project Type,No,Application
2021/11/29 1:28:16 pm CET,Information Technology,Custom Systems catered for different clients,Scrum;Kanban,It depends on the project and team that are going to be working on that project,,Kanban,Application (everything else),Changing,understandable/early defined,Non-Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),High,Medium,High,High,Medium,Medium,High,High,Low,Scrum,Utility (performs specific tasks to keep the computer running e.g. antivirus),Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Simple,After each cycle (Intensive testing),High,High,Low,High,Low,Medium,High,Low,Low,Requirements Clarity,Time management,
2021/11/29 2:15:16 pm CET,Information Technology,Cloud Software,Scrum,,Scrum and Waterfall,Scrum,Application (everything else),Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),Medium,High,High,High,Medium,Medium,High,Low,Low,,,,,,,,,,,,,,,,,,,Requirements Clarity,No,
2021/11/29 5:18:28 pm CET,Information Technology,b. Information systems,Waterfall,,Scrum and Waterfall,Hybrid: Scrum and Waterfall,Application (everything else),Changing,understandable/early defined,Intensive,Large,Large (16....),Complex,After each cycle (Intensive testing),High,High,High,High,High,High,High,Low,Medium,Waterfall,Utility (performs specific tasks to keep the computer running e.g. antivirus),Fixed,understandable/early defined,Non-Intensive,Medium,Medium (6-15),Simple,After development is done (Non-intensive testing),High,Low,Low,Medium,High,High,Low,Low,Low,Risk Analysis,No,
2021/11/30 9:28:03 am CET,Information Technology,b. Information systems,Hybrid,Depends on the type of project and application being developed.,Scrum and Waterfall,Hybrid: Scrum and Waterfall,Application (everything else),Changing,unknown/defined later in the lifecycle,Non-Intensive,Large,Large (16....),Complex,After each cycle (Intensive testing),Medium,High,High,Medium,High,High,High,Medium,Low,,,,,,,,,,,,,,,,,,,Requirements Volatility,No,
2021/11/30 11:07:55 am CET,Information Technology,b. Information systems,Scrum;Agile,Based on size and requirements of the project,Scrum and agile,Scrum,Application (everything else),Changing,unknown/defined later in the lifecycle,Intensive,Medium,Medium (6-15),Complex,After each cycle (Intensive testing),High,High,Medium,Medium,Medium,Medium,High,Low,Low,Spiral,Utility (performs specific tasks to keep the computer running e.g. antivirus),Changing,unknown/defined later in the lifecycle,Intensive,Large,Small (1-5),Complex,After each cycle (Intensive testing),High,Medium,High,High,Low,Low,Low,High,High,Requirements Volatility,"Team size: high, User participation: high",
2021/11/30 2:03:21 pm CET,Finance,"a. Real-time systems i.e., produce real-time data to predict the future consequences of current actions e.g., used in smartphones, air traffic control, GPS, health",Rapid Application Development (RAD);Spiral,Size of the project,,RAD,System (sits between the hardware and the application software e.g. OSs),Fixed,understandable/early defined,Intensive,Large,Large (16....),Complex,After each cycle (Intensive testing),Low,High,High,High,High,Low,High,Low,Medium,RAD,System (sits between the hardware and the application software e.g. OSs),Fixed,understandable/early defined,Intensive,Large,Large (16....),Simple,After each cycle (Intensive testing),Low,High,High,High,High,Low,High,Low,Medium,Risk Analysis,No,
2021/11/30 2:05:43 pm CET,Gaming,Applications,Kanban,,,Kanban,Application (everything else),Fixed,understandable/early defined,Non-Intensive,Medium,Large (16....),Complex,After each cycle (Intensive testing),Medium,High,High,High,Low,Medium,High,High,Low,,,,,,,,,,,,,,,,,,,User Participation;Project Size;Project Type,No,
2021/11/30 3:47:09 pm CET,Information Technology,b. Information systems,Hybrid,,Scrum and Kanban,Hybrid: Scrum and Kanban,Application (everything else),Changing,unknown/defined later in the lifecycle,Intensive,Large,Large (16....),Complex,After each cycle (Intensive testing),High,High,High,High,Medium,High,High,High,Low,,,,,,,,,,,,,,,,,,,Requirements Clarity;Requirements Volatility,No,
2021/11/30 3:54:14 pm CET,Information Technology,b. Information systems,Kanban,,,Kanban,Application (everything else),Changing,understandable/early defined,Non-Intensive,Large,Large (16....),Complex,After each cycle (Intensive testing),High,Medium,High,Medium,Medium,Medium,Medium,High,Low,,,,,,,,,,,,,,,,,,,Product Complexity,"timelines - High , Skillset required - High",
